ticker,source,title,description,content,url,vader_sentiment_title,vader_sentiment_description,avg_vader_sentiment,finbert_label,finbert_score,refined_label,combined_sentiment,Date,daily_avg_sentiment
STRYKER CORPORATION,ETF Daily News,Head to Head Contrast: Optex Systems (NASDAQ:OPXS) vs. Odysight.Ai (NASDAQ:ODYS),"Odysight.Ai (NASDAQ:ODYS – Get Free Report) and Optex Systems (NASDAQ:OPXS – Get Free Report) are both small-cap business services companies, but which is the better investment? We will compare the two businesses based on the strength of their dividends, valu…","Odysight.Ai (NASDAQ:ODYS – Get Free Report) and Optex Systems (NASDAQ:OPXS – Get Free Report) are both small-cap business services companies, but which is the better investment? We will compare the t… [+5075 chars]",https://www.etfdailynews.com/2025/05/15/head-to-head-contrast-optex-systems-nasdaqopxs-vs-odysight-ai-nasdaqodys/,0.0,0.9091,0.45455,neutral,0.8499364256858826,neutral,0.136365,2025-05-15,0.136365
STRYKER CORPORATION,ETF Daily News,Western Digital (NASDAQ:WDC) Shares Acquired Rep. Jefferson Shreve,"Representative Jefferson Shreve (R-Indiana) recently bought shares of Western Digital Co. (NASDAQ:WDC). In a filing disclosed on May 08th, the Representative disclosed that they had bought between $15,001 and $50,000 in Western Digital stock on April 17th. Th…","Representative Jefferson Shreve (R-Indiana) recently bought shares of Western Digital Co. (NASDAQ:WDC). In a filing disclosed on May 08th, the Representative disclosed that they had bought between $1… [+7563 chars]",https://www.etfdailynews.com/2025/05/11/western-digital-nasdaqwdc-shares-acquired-rep-jefferson-shreve/,0.296,0.296,0.296,neutral,0.939361572265625,neutral,0.08879999999999999,2025-05-11,0.08879999999999999
STRYKER CORPORATION,ETF Daily News,Optex Systems (NASDAQ:OPXS) & Odysight.Ai (NASDAQ:ODYS) Financial Analysis,"Odysight.Ai (NASDAQ:ODYS – Get Free Report) and Optex Systems (NASDAQ:OPXS – Get Free Report) are both small-cap business services companies, but which is the superior stock? We will compare the two businesses based on the strength of their institutional owne…","Odysight.Ai (NASDAQ:ODYS – Get Free Report) and Optex Systems (NASDAQ:OPXS – Get Free Report) are both small-cap business services companies, but which is the superior stock? We will compare the two … [+5041 chars]",https://www.etfdailynews.com/2025/05/10/optex-systems-nasdaqopxs-odysight-ai-nasdaqodys-financial-analysis/,0.0,0.9239,0.46195,neutral,0.8374066352844238,neutral,0.138585,2025-05-10,0.138585
STRYKER CORPORATION,ETF Daily News,Stryker (NYSE:SYK) Given “Market Perform” Rating at JMP Securities,"Stryker (NYSE:SYK – Get Free Report)‘s stock had its “market perform” rating reissued by equities researchers at JMP Securities in a report issued on Monday,Benzinga reports. SYK has been the subject of several other research reports. Evercore ISI dropped the…","Stryker (NYSE:SYK – Get Free Report)‘s stock had its “market perform” rating reissued by equities researchers at JMP Securities in a report issued on Monday,Benzinga reports.
SYK has been the subjec… [+4921 chars]",https://www.etfdailynews.com/2025/05/07/stryker-nysesyk-given-market-perform-rating-at-jmp-securities/,0.296,0.6705,0.48324999999999996,negative,0.8581943511962891,negative,-0.4557610458374023,2025-05-07,-0.4557610458374023
STRYKER CORPORATION,ETF Daily News,Truist Financial Increases Stryker (NYSE:SYK) Price Target to $400.00,"Stryker (NYSE:SYK – Free Report) had its price objective hoisted by Truist Financial from $390.00 to $400.00 in a report issued on Monday,Benzinga reports. Truist Financial currently has a hold rating on the medical technology company’s stock. Several other b…","Stryker (NYSE:SYK – Free Report) had its price objective hoisted by Truist Financial from $390.00 to $400.00 in a report issued on Monday,Benzinga reports. Truist Financial currently has a hold ratin… [+4957 chars]",https://www.etfdailynews.com/2025/05/06/truist-financial-increases-stryker-nysesyk-price-target-to-400-00/,0.0,0.5106,0.2553,neutral,0.8635023832321167,neutral,0.07659,2025-05-06,0.07943043975830082
STRYKER CORPORATION,ETF Daily News,Brokerages Set Stryker Co. (NYSE:SYK) Price Target at $426.53,"Shares of Stryker Co. (NYSE:SYK – Get Free Report) have been given an average recommendation of “Moderate Buy” by the nineteen research firms that are covering the stock, Marketbeat Ratings reports. Four equities research analysts have rated the stock with a …","Shares of Stryker Co. (NYSE:SYK – Get Free Report) have been given an average recommendation of “Moderate Buy” by the nineteen research firms that are covering the stock, Marketbeat Ratings reports. … [+5038 chars]",https://www.etfdailynews.com/2025/05/06/brokerages-set-stryker-co-nysesyk-price-target-at-426-53/,0.0,0.6705,0.33525,positive,0.9144273400306702,positive,0.7406741380214691,2025-05-06,0.07943043975830082
STRYKER CORPORATION,ETF Daily News,Equities Analysts Issue Forecasts for Stryker Q2 Earnings,"Stryker Co. (NYSE:SYK – Free Report) – Analysts at Roth Capital lowered their Q2 2025 earnings estimates for shares of Stryker in a report released on Thursday, May 1st. Roth Capital analyst J. Wittes now forecasts that the medical technology company will pos…","Stryker Co. (NYSE:SYK – Free Report) – Analysts at Roth Capital lowered their Q2 2025 earnings estimates for shares of Stryker in a report released on Thursday, May 1st. Roth Capital analyst J. Witte… [+5304 chars]",https://www.etfdailynews.com/2025/05/06/equities-analysts-issue-forecasts-for-stryker-q2-earnings/,0.0,0.6124,0.3062,negative,0.9583325982093811,negative,-0.5789728187465667,2025-05-06,0.07943043975830082
STRYKER CORPORATION,ETF Daily News,Evercore ISI Issues Pessimistic Forecast for Stryker (NYSE:SYK) Stock Price,"Stryker (NYSE:SYK – Free Report) had its price objective cut by Evercore ISI from $400.00 to $390.00 in a research report sent to investors on Friday morning,Benzinga reports. They currently have an outperform rating on the medical technology company’s stock.…","Stryker (NYSE:SYK – Free Report) had its price objective cut by Evercore ISI from $400.00 to $390.00 in a research report sent to investors on Friday morning,Benzinga reports. They currently have an … [+5445 chars]",https://www.etfdailynews.com/2025/05/05/evercore-isi-issues-pessimistic-forecast-for-stryker-nysesyk-stock-price/,-0.3612,0.296,-0.03260000000000002,negative,0.9385374188423157,negative,-0.666756193189621,2025-05-05,-0.666756193189621
STRYKER CORPORATION,ETF Daily News,Roth Mkm Issues Positive Forecast for Stryker (NYSE:SYK) Stock Price,"Stryker (NYSE:SYK – Get Free Report) had its price objective upped by equities researchers at Roth Mkm from $405.00 to $456.00 in a research report issued on Friday,Benzinga reports. The firm presently has a “buy” rating on the medical technology company’s st…","Stryker (NYSE:SYK – Get Free Report) had its price objective upped by equities researchers at Roth Mkm from $405.00 to $456.00 in a research report issued on Friday,Benzinga reports. The firm present… [+5336 chars]",https://www.etfdailynews.com/2025/05/04/roth-mkm-issues-positive-forecast-for-stryker-nysesyk-stock-price/,0.5574,0.5106,0.534,positive,0.8919270634651184,positive,0.7845489444255829,2025-05-04,0.41447447221279143
STRYKER CORPORATION,ETF Daily News,Medical Stocks To Watch Now – May 2nd,"Eli Lilly and Company, UnitedHealth Group, Hims & Hers Health, Becton, Dickinson and Company, and Stryker are the five Medical stocks to watch today, according to MarketBeat’s stock screener tool. Medical stocks are shares of publicly traded companies involve…","Eli Lilly and Company, UnitedHealth Group, Hims &amp; Hers Health, Becton, Dickinson and Company, and Stryker are the five Medical stocks to watch today, according to MarketBeat’s stock screener tool… [+6112 chars]",https://www.etfdailynews.com/2025/05/04/medical-stocks-to-watch-now-may-2nd/,0.0,0.296,0.148,neutral,0.9376584887504578,neutral,0.044399999999999995,2025-05-04,0.41447447221279143
STRYKER CORPORATION,ETF Daily News,Cytosorbents (NASDAQ:CTSO) vs. Microbot Medical (NASDAQ:MBOT) Financial Survey,"Cytosorbents (NASDAQ:CTSO – Get Free Report) and Microbot Medical (NASDAQ:MBOT – Get Free Report) are both small-cap medical companies, but which is the superior investment? We will contrast the two businesses based on the strength of their earnings, profitab…","Cytosorbents (NASDAQ:CTSO – Get Free Report) and Microbot Medical (NASDAQ:MBOT – Get Free Report) are both small-cap medical companies, but which is the superior investment? We will contrast the two … [+6179 chars]",https://www.etfdailynews.com/2025/05/03/cytosorbents-nasdaqctso-vs-microbot-medical-nasdaqmbot-financial-survey/,0.0,0.9239,0.46195,neutral,0.7496503591537476,neutral,0.138585,2025-05-03,0.138585
